H_TENURE,GEREG,HEFAMINC,HH5TO18,HNUMFAM,H_NUMPER,H_YEAR,H_MONTH,HHINC,HWSVAL,HSEVAL,HEARNVAL,HFRVAL,HANNVAL,HCSPVAL,HDISVAL,HDIVVAL,HEDVAL,HFINVAL,HINTVAL,HOIVAL,HOTHVAL,HPAWVAL,HPENVAL,HRNTVAL,HSSIVAL,HSSVAL,HSURVAL,HUCVAL,HVETVAL,HWCVAL,HPROP_VAL
1,2,14,0,1,4,2020,3,41,155000,0,155000,0,9432,0,0,0,0,0,1000,0,10432,0,0,0,0,0,0,0,0,0,100000
1,2,13,0,1,1,2020,3,28,58000,0,58000,0,0,0,0,5,0,0,43,0,10368,0,0,0,0,0,0,0,10320,0,150000
1,2,16,2,1,4,2020,3,41,222000,0,222000,0,0,0,0,575,0,0,41100,0,41675,0,0,0,0,0,0,0,0,0,350000
2,2,7,0,1,1,2020,3,8,0,0,0,0,0,0,0,0,0,0,0,0,19302,0,0,0,0,19302,0,0,0,0,0
2,2,7,1,1,3,2020,3,12,29000,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,11,1,1,5,2020,3,17,40000,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,16,0,1,2,2020,3,36,80090,0,80090,0,0,0,0,1001,0,0,6500,0,7501,0,0,0,0,0,0,0,0,0,145000
1,2,14,0,1,3,2020,3,41,110000,0,110000,0,0,0,0,200,0,0,1040,0,1240,0,0,0,0,0,0,0,0,0,250000
1,2,16,0,1,2,2020,3,41,178000,0,178000,0,0,0,0,0,0,0,40300,0,40300,0,0,0,0,0,0,0,0,0,325000
1,2,15,0,1,4,2020,3,41,140000,0,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000
1,2,10,0,2,2,2020,3,18,0,0,0,0,0,0,0,0,0,0,0,0,42702,0,0,0,780,41922,0,0,0,0,150
1,2,7,2,1,3,2020,3,5,0,0,0,0,0,0,0,0,0,0,0,0,10800,0,0,0,0,10800,0,0,0,0,40000
1,2,16,0,2,2,2020,3,41,200000,0,200000,0,0,0,0,1200,0,0,8150,0,9350,0,0,0,0,0,0,0,0,0,500000
1,2,13,0,1,1,2020,3,13,0,0,0,0,0,0,0,0,0,0,219,0,31995,0,13128,0,0,15648,0,0,0,0,300000
1,2,11,0,1,2,2020,3,16,26000,0,26000,0,0,0,0,0,0,0,114,0,13614,0,0,0,0,13500,0,0,0,0,225000
1,2,9,0,1,1,2020,3,14,0,0,0,0,0,0,0,0,0,0,471,0,33671,0,0,0,0,26000,0,0,0,0,140000
1,2,4,1,1,4,2020,3,10,24000,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132000
1,2,14,0,1,1,2020,3,41,0,0,0,0,0,0,0,4000,0,0,70064,0,149664,0,57600,0,0,18000,0,0,0,0,118000
2,2,12,0,1,1,2020,3,21,50000,0,50000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,2,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,11,0,1,1,2020,3,15,34200,0,34200,0,0,0,0,1200,0,0,724,0,1924,0,0,0,0,0,0,0,0,0,23000
2,2,8,0,1,1,2020,3,7,0,0,0,0,0,0,0,0,0,0,0,0,16386,0,0,0,0,14826,1560,0,0,0,0
1,2,6,0,1,2,2020,3,38,0,70000,70000,0,0,0,0,0,0,0,15,0,22761,0,0,0,0,22746,0,0,0,0,200000
1,2,6,0,1,2,2020,3,36,36000,0,36000,0,0,0,18000,0,0,0,853,0,51973,0,4500,0,0,25620,0,0,0,0,300000
2,2,2,0,1,1,2020,3,5,0,0,0,0,0,0,0,0,0,0,1,0,10921,0,0,0,1320,9600,0,0,0,0,0
1,2,14,0,1,2,2020,3,22,53720,0,53720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220000
1,2,15,0,1,2,2020,3,41,0,0,85000,85000,0,0,0,0,0,0,3474,0,40702,0,0,0,0,33852,0,0,0,0,60000
1,2,14,1,1,4,2020,3,41,138400,0,138400,0,0,0,0,0,0,0,71,0,71,0,0,0,0,0,0,0,0,0,180000
2,2,13,3,2,6,2020,3,25,44000,0,44000,0,0,5424,0,0,0,0,0,0,17850,0,0,0,0,12426,0,0,0,0,0
1,2,11,2,1,6,2020,3,18,44800,0,44800,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,47000
1,2,9,0,1,1,2020,3,11,1000,0,1000,0,0,0,0,0,0,0,0,0,25200,0,0,0,0,13200,12000,0,0,0,200000
2,2,9,0,1,1,2020,3,13,30677,0,30677,0,0,0,0,38,0,0,372,0,410,0,0,0,0,0,0,0,0,0,0
1,2,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,7,0,1,1,2020,3,7,0,0,0,0,0,0,0,0,0,0,271,0,15917,0,1000,0,0,4746,9900,0,0,0,0
2,2,7,1,1,5,2020,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2680,2400,0,0,0,280,0,0,0,0,0
1,2,16,2,2,4,2020,3,41,220400,0,220400,0,0,0,0,53500,0,0,65000,0,137700,0,19200,0,0,0,0,0,0,0,400000
1,2,15,0,2,2,2020,3,41,36600,70000,106600,0,0,0,0,0,0,0,454,0,454,0,0,0,0,0,0,0,0,0,220000
1,2,10,0,1,2,2020,3,12,0,0,0,0,0,0,0,0,0,0,73,0,28693,0,0,0,0,28620,0,0,0,0,10000
2,2,10,0,1,2,2020,3,17,28000,0,28000,0,0,0,0,0,0,0,1,0,13771,0,0,0,0,13770,0,0,0,0,0
1,2,14,0,1,1,2020,3,41,0,126000,126000,0,0,0,0,0,0,0,401,0,401,0,0,0,0,0,0,0,0,0,225000
1,2,16,0,2,5,2020,3,32,72096,0,72096,0,0,0,0,201,0,0,4018,0,7219,0,3000,0,0,0,0,0,0,0,300000
1,2,13,1,2,3,2020,3,41,64000,200,64200,0,0,0,0,0,0,0,2,0,49802,0,0,0,4800,45000,0,0,0,0,170000
1,2,11,2,1,4,2020,3,13,25625,0,25625,0,0,0,2226,0,0,0,3627,0,5853,0,0,0,0,0,0,0,0,0,292000
1,2,12,0,1,2,2020,3,41,95000,0,95000,0,0,0,2000,0,0,0,18033,60000,93344,0,0,900,0,12411,0,0,0,0,200000
2,2,7,0,1,1,2020,3,17,40000,0,40000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,2,9,0,1,2,2020,3,14,0,0,0,0,0,0,0,0,0,0,0,0,33000,0,0,4200,0,28800,0,0,0,0,200000
1,2,14,0,1,2,2020,3,41,265000,0,265000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000
