H_TENURE,GEREG,HEFAMINC,HH5TO18,HNUMFAM,H_NUMPER,H_YEAR,H_MONTH,HHINC,HWSVAL,HSEVAL,HEARNVAL,HFRVAL,HANNVAL,HCSPVAL,HDISVAL,HDIVVAL,HEDVAL,HFINVAL,HINTVAL,HOIVAL,HOTHVAL,HPAWVAL,HPENVAL,HRNTVAL,HSSIVAL,HSSVAL,HSURVAL,HUCVAL,HVETVAL,HWCVAL,HPROP_VAL
1,1,13,2,1,5,2020,3,32,79200,0,79200,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,490000
1,1,7,0,1,1,2020,3,10,0,0,0,0,0,0,0,2900,0,0,375,0,24631,0,1956,0,0,17400,0,0,0,0,150000
1,1,14,1,1,3,2020,3,41,125000,0,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000
1,1,6,0,1,1,2020,3,41,0,0,100000,100000,0,0,0,0,0,0,1,0,99361,0,24000,60000,0,15360,0,0,0,0,157000
2,1,12,0,1,1,2020,3,28,67650,0,67650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,14,0,1,4,2020,3,41,123000,0,123000,0,0,0,0,0,0,0,75,0,75,0,0,0,0,0,0,0,0,0,350000
1,1,15,0,1,4,2020,3,41,100500,0,100500,0,0,0,0,100,4000,0,2730,0,6830,0,0,0,0,0,0,0,0,0,250000
1,1,7,0,1,1,2020,3,13,0,0,0,0,0,0,0,0,0,0,3,0,31983,0,16800,0,0,15180,0,0,0,0,350000
1,1,11,1,1,4,2020,3,17,39800,0,39800,0,0,0,0,0,0,0,0,0,1950,0,0,0,0,1950,0,0,0,0,235000
1,1,16,0,1,2,2020,3,41,600000,0,600000,0,0,0,0,103000,0,0,98512,0,201512,0,0,0,0,0,0,0,0,0,1200000
1,1,16,2,1,5,2020,3,41,137000,0,137000,0,0,0,0,0,0,0,380,0,380,0,0,0,0,0,0,0,0,0,170000
1,1,12,0,1,2,2020,3,27,52000,0,52000,0,0,0,0,0,0,0,0,0,14844,0,0,0,0,14844,0,0,0,0,125000
1,1,16,0,1,1,2020,3,41,140000,0,140000,0,0,0,3270,0,0,0,250,0,3520,0,0,0,0,0,0,0,0,0,285000
1,1,9,0,2,3,2020,3,11,15000,0,15000,0,0,0,0,0,0,0,1,0,10801,0,0,10800,0,0,0,0,0,0,270000
1,1,16,0,1,2,2020,3,41,300000,0,300000,0,0,0,0,0,0,0,5585,0,5585,0,0,0,0,0,0,0,0,0,650000
1,1,15,0,1,1,2020,3,41,0,0,0,0,0,0,0,0,0,0,65160,0,181160,0,60000,0,0,45000,0,0,0,0,500000
2,1,11,0,1,1,2020,3,17,0,0,0,0,0,0,40872,0,0,0,0,0,40872,0,0,0,0,0,0,0,0,0,0
2,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,12,0,1,2,2020,3,9,0,0,0,0,0,0,0,0,0,0,190,0,21846,0,1128,0,0,15528,0,0,0,0,150000
