H_TENURE,GEREG,HEFAMINC,HH5TO18,HNUMFAM,H_NUMPER,H_YEAR,H_MONTH,HHINC,HWSVAL,HSEVAL,HEARNVAL,HFRVAL,HANNVAL,HCSPVAL,HDISVAL,HDIVVAL,HEDVAL,HFINVAL,HINTVAL,HOIVAL,HOTHVAL,HPAWVAL,HPENVAL,HRNTVAL,HSSIVAL,HSSVAL,HSURVAL,HUCVAL,HVETVAL,HWCVAL,HPROP_VAL
1,3,14,1,3,6,2020,3,33,30000,0,30000,0,0,0,0,0,0,0,15,0,50907,0,0,0,0,26892,0,0,24000,0,145000
1,3,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,16,0,1,4,2020,3,41,122000,0,122000,0,0,0,0,0,0,0,2000,0,2000,0,0,0,0,0,0,0,0,0,200000
1,3,15,1,1,2,2020,3,38,102000,0,102000,0,0,0,0,0,0,0,2300,0,-7699,0,0,-9999,0,0,0,0,0,0,275000
2,3,9,0,1,1,2020,3,7,0,0,0,0,0,0,0,0,0,0,0,0,16800,0,0,0,16800,0,0,0,0,0,0
1,3,5,0,1,2,2020,3,12,0,0,0,0,0,0,0,0,0,0,9,0,29805,0,0,0,12000,17796,0,0,0,0,60000
1,3,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,12,0,1,2,2020,3,10,0,0,0,0,0,0,0,280,0,0,501,0,24107,0,0,0,0,20826,0,0,0,0,550000
1,3,11,2,1,4,2020,3,24,56000,0,56000,0,0,0,0,0,0,0,2400,0,2400,0,0,0,0,0,0,0,0,0,6000
1,3,15,2,1,6,2020,3,41,140000,0,140000,0,0,0,0,0,0,0,2800,0,2800,0,0,0,0,0,0,0,0,0,200000
1,3,3,0,1,3,2020,3,41,40045,0,40045,0,0,0,0,0,0,0,2022,0,89128,0,67000,0,0,20106,0,0,0,0,350000
1,3,9,0,1,1,2020,3,10,0,0,0,0,0,0,0,0,0,0,0,0,24060,0,8400,0,0,15660,0,0,0,0,100000
1,3,15,0,1,3,2020,3,35,85000,0,85000,0,0,0,0,0,0,0,5,0,756,0,0,0,0,0,0,751,0,0,120000
2,3,13,0,1,2,2020,3,29,70000,0,70000,0,0,0,0,0,0,0,215,0,215,0,0,0,0,0,0,0,0,0,0
2,3,13,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,7,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,16,3,1,5,2020,3,41,1119999,0,1119999,0,0,0,0,400,0,0,6913,0,7313,0,0,0,0,0,0,0,0,0,650000
1,3,16,2,1,4,2020,3,41,253000,0,253000,0,0,0,0,0,0,0,30000,0,30002,0,0,2,0,0,0,0,0,0,725000
1,3,11,0,1,2,2020,3,5,0,0,0,0,0,0,0,0,0,0,1,0,11209,0,0,0,0,11208,0,0,0,0,75000
1,3,4,0,1,2,2020,3,17,0,0,0,0,0,0,0,0,0,0,0,0,40206,0,0,0,0,40206,0,0,0,0,300000
1,3,15,1,2,4,2020,3,37,19000,0,19000,0,0,0,0,3800,0,0,1216,0,72412,0,58144,0,0,9252,0,0,0,0,350000
1,3,14,0,1,3,2020,3,41,128600,0,128600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000
1,3,13,0,1,1,2020,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,435000
1,3,15,0,1,2,2020,3,21,40000,0,40000,0,0,0,0,10500,0,0,0,0,10500,0,0,0,0,0,0,0,0,0,285000
2,3,13,0,1,3,2020,3,23,55000,0,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,10,0,1,2,2020,3,16,0,0,0,0,0,0,0,0,0,0,310,0,37750,0,0,0,0,37440,0,0,0,0,200000
