H_TENURE,GEREG,HEFAMINC,HH5TO18,HNUMFAM,H_NUMPER,H_YEAR,H_MONTH,HHINC,HWSVAL,HSEVAL,HEARNVAL,HFRVAL,HANNVAL,HCSPVAL,HDISVAL,HDIVVAL,HEDVAL,HFINVAL,HINTVAL,HOIVAL,HOTHVAL,HPAWVAL,HPENVAL,HRNTVAL,HSSIVAL,HSSVAL,HSURVAL,HUCVAL,HVETVAL,HWCVAL,HPROP_VAL
1,4,11,2,1,4,2020,3,18,40000,0,40000,0,0,0,0,0,2500,0,60,0,2560,0,0,0,0,0,0,0,0,0,400000
1,4,6,1,2,4,2020,3,12,29000,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
1,4,9,0,1,1,2020,3,27,67000,0,67000,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,340000
1,4,15,1,1,4,2020,3,41,116000,0,116000,0,0,0,0,20,0,0,2491,0,2511,0,0,0,0,0,0,0,0,0,515000
2,4,8,1,2,4,2020,3,19,45000,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,15,0,2,2,2020,3,41,134000,0,134000,0,0,0,0,0,0,0,2802,0,2802,0,0,0,0,0,0,0,0,0,0
2,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,15,1,1,3,2020,3,41,147000,0,147000,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,500000
1,4,15,0,1,2,2020,3,41,120000,0,120000,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,200000
2,4,15,3,1,6,2020,3,41,190000,0,190000,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0
2,4,7,0,1,1,2020,3,14,31600,0,31600,0,0,0,0,1500,0,0,505,0,2005,0,0,0,0,0,0,0,0,0,0
1,4,16,1,1,3,2020,3,41,70000,0,70000,0,0,0,0,0,0,0,66752,0,69152,0,0,2400,0,0,0,0,0,0,500000
1,4,16,1,2,5,2020,3,41,194000,0,194000,0,0,0,0,1500,0,0,100,0,48400,0,9600,15600,0,21600,0,0,0,0,1300000
1,4,13,0,1,2,2020,3,25,0,0,0,0,0,0,0,6057,0,0,2552,0,61039,0,52430,0,0,0,0,0,0,0,450000
1,4,15,3,1,5,2020,3,41,112175,0,112175,0,0,0,0,0,0,0,516,0,516,0,0,0,0,0,0,0,0,0,25000
1,4,11,0,1,1,2020,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,1296,0,0,0,0,150000
1,4,15,1,2,6,2020,3,35,85000,0,85000,0,0,270,0,0,1250,0,31,0,1551,0,0,0,0,0,0,0,0,0,275000
2,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,12,0,1,2,2020,3,20,0,0,0,0,0,0,0,0,0,0,1,0,49021,0,13440,0,0,35580,0,0,0,0,500000
1,4,15,0,1,3,2020,3,41,100000,0,100000,0,0,0,0,2600,0,0,75,0,28675,0,0,0,0,0,26000,0,0,0,1500000
2,4,14,0,2,2,2020,3,41,80000,0,80000,0,0,0,9600,0,2000,0,515,7200,83315,0,0,0,0,0,0,0,0,64000,0
1,4,13,0,2,2,2020,3,24,25000,0,25000,0,0,0,0,0,0,0,11,0,33611,0,0,0,0,0,0,0,0,0,300000
1,4,8,1,1,3,2020,3,41,48000,0,48000,0,2000,0,0,1088,0,0,3152,0,61758,0,14400,0,0,29370,0,0,11748,0,600000
1,4,12,1,1,3,2020,3,32,58000,20000,78000,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,650000
1,4,7,1,1,4,2020,3,32,19500,0,19500,0,0,0,0,0,0,0,0,0,58886,0,19560,0,0,39326,0,0,0,0,323900
1,4,14,1,2,5,2020,3,41,103355,0,103355,0,0,0,0,0,0,0,1,0,10001,0,0,0,0,0,0,0,0,0,250000
2,4,12,2,1,6,2020,3,31,75000,0,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,13,0,1,2,2020,3,36,0,0,0,0,0,0,0,5025,0,0,10000,0,88265,0,60000,0,0,13240,0,0,0,0,350000
2,4,15,0,2,4,2020,3,41,60000,0,60000,0,0,0,0,0,0,0,30,0,40398,0,33600,0,0,6768,0,0,0,0,0
1,4,12,3,1,4,2020,3,11,27040,0,27040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000
1,4,14,0,1,2,2020,3,41,105960,0,105960,0,0,0,24813,0,0,5000,1585,0,32334,0,0,0,0,0,0,936,0,0,475000
